日期,入出境總人數_小計,桃園一期入境查驗,桃園一期出境查驗,桃園一期小計,桃園二期入境查驗,桃園二期出境查驗,桃園二期小計,桃園一_二期合計,高雄機場入境查驗,高雄機場出境查驗,高雄機場小計,基隆港入境查驗,基隆港出境查驗,基隆港小計,台中港入境查驗,台中港出境查驗,台中港小計,高雄港入境查驗,高雄港出境查驗,高雄港小計,花蓮港入境查驗,花蓮港出境查驗,花蓮港小計,蘇澳港入境查驗,蘇澳港出境查驗,蘇澳港小計,澎湖港入境查驗,澎湖港出境查驗,澎湖港小計,台南機場入境查驗,台南機場出境查驗,台南機場小計,安平港入境查驗,安平港出境查驗,安平港小計,松山機場入境查驗,松山機場出境查驗,松山機場小計,金門港_水頭入境查驗,金門港_水頭出境查驗,金門港_水頭小計,馬祖入境查驗,馬祖出境查驗,馬祖小計,花蓮機場入境查驗,花蓮機場出境查驗,花蓮機場小計,麥寮港入境查驗,麥寮港出境查驗,麥寮港小計,馬公機場入境查驗,馬公機場出境查驗,馬公機場小計,台中機場入境查驗,台中機場出境查驗,台中機場小計,和平港入境查驗,和平港出境查驗,和平港小計,金門機場入境查驗,金門機場出境查驗,金門機場小計,南竿機場入境查驗,南竿機場出境查驗,南竿機場小計,北竿機場入境查驗,北竿機場出境查驗,北竿機場小計,嘉義機場入境查驗,嘉義機場出境查驗,嘉義機場小計,台北港入境查驗,台北港出境查驗,台北港小計,東港入境查驗,東港出境查驗,東港小計,台東機場入境查驗,台東機場出境查驗,台東機場小計,北竿白沙港入境查驗,北竿白沙港出境查驗,北竿白沙港小計,布袋港入境查驗,布袋港出境查驗,布袋港小計,大園沙崙港入境查驗,大園沙崙港出境查驗,大園沙崙港小計,台東富岡港入境查驗,台東富岡港出境查驗,台東富岡港小計,馬公港入境查驗,馬公港出境查驗,馬公港小計,桃園竹圍港入境查驗,桃園竹圍港出境查驗,桃園竹圍港小計,金門港_料羅入境查驗,金門港_料羅出境查驗,金門港_料羅小計,後壁湖遊艇港入境查驗,後壁湖遊艇港出境查驗,後壁湖遊艇港小計,淡水第二漁港遊艇碼頭入境查驗,淡水第二漁港遊艇碼頭出境查驗,淡水第二漁港遊艇碼頭小計,屏東大鵬灣遊艇港入境查驗,屏東大鵬灣遊艇港出境查驗,屏東大鵬灣遊艇港小計,屏東機場入境查驗,屏東機場出境查驗,屏東機場小計,離岸式風力發電計畫入境查驗,離岸式風力發電計畫出境查驗,離岸式風力發電計畫小計,蘭嶼開元港入境查驗,蘭嶼開元港出境查驗,蘭嶼開元港小計,前鎮漁港入境查驗,前鎮漁港出境查驗,前鎮漁港小計,觀塘工業港入境查驗,觀塘工業港出境查驗,觀塘工業港小計
20251101,157414,32391,29580,61971,29750,27995,57745,119716,8795,8184,16979,3,2,5,16,8,24,13,99,112,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,4538,4205,8743,3619,2681,6300,34,112,146,38,38,76,3,3,6,0,0,0,2596,2388,4984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,2,0,0,0,78,238,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251102,170597,32537,32138,64675,30814,28404,59218,123893,8740,8320,17060,4293,4117,8410,15,2,17,26,153,179,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4671,4525,9196,2876,3252,6128,65,152,217,32,40,72,2,0,2,0,0,0,2717,2513,5230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,70,119,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251103,152564,29360,31007,60367,28264,28079,56343,116710,8120,8121,16241,0,3,3,27,6,33,16,37,53,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,4593,4626,9219,2325,2586,4911,52,56,108,0,0,0,2,1,3,0,0,0,2510,2671,5181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,14,14,0,0,0,27,55,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251104,137428,26985,27301,54286,26061,24195,50256,104542,7509,7116,14625,0,0,0,43,20,63,14,24,38,0,0,0,0,3,3,0,0,0,0,0,0,0,1,1,4270,4109,8379,2521,2724,5245,52,45,97,24,25,49,0,0,0,0,0,0,2027,2186,4213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,95,63,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251105,136007,25537,26430,51967,25372,23811,49183,101150,7294,7749,15043,5,1,6,35,32,67,20,15,35,1,1,2,0,0,0,0,0,0,0,0,0,11,11,22,4916,4672,9588,2484,2544,5028,68,53,121,0,0,0,2,4,6,0,0,0,2436,2367,4803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,11,0,0,0,76,49,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251106,144169,26887,28668,55555,26214,26834,53048,108603,7817,8374,16191,2,1,3,10,7,17,43,38,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4435,4435,8870,2789,2472,5261,97,70,167,38,36,74,4,0,4,0,0,0,2337,2329,4666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,7,9,0,0,0,126,96,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251107,159004,29616,30232,59848,28728,28375,57103,116951,8213,8145,16358,1974,2466,4440,12,8,20,32,97,129,0,0,0,1,1,2,0,0,0,6,0,6,1,4,5,4607,4674,9281,2796,3071,5867,126,120,246,0,0,0,10,10,20,0,0,0,2537,2924,5461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9,0,0,0,0,0,0,116,93,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251108,156523,29417,30523,59940,29215,28690,57905,117845,8528,8907,17435,4,0,4,6,1,7,28,16,44,5,5,10,0,0,0,0,0,0,0,0,0,3,0,3,4415,4464,8879,3763,3184,6947,104,153,257,22,23,45,8,15,23,0,0,0,2597,2192,4789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,0,8,8,0,0,0,118,104,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251109,167804,31238,32401,63639,30947,28606,59553,123192,9161,8661,17822,2453,2324,4777,0,0,0,13,8,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4636,4648,9284,3434,3461,6895,113,154,267,34,39,73,9,1,10,0,0,0,2602,2777,5379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,0,0,0,0,0,0,63,13,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251110,147245,29152,29599,58751,28893,27322,56215,114966,8544,8627,17171,1,0,1,6,8,14,14,4,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4113,4253,8366,644,602,1246,0,0,0,0,0,0,0,1,1,0,0,0,2642,2817,5459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251111,140774,26859,28925,55784,26253,25999,52252,108036,7823,8216,16039,2315,1391,3706,47,38,85,1,8,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4160,4369,8529,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,2070,2283,4353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251112,125550,28628,27847,56475,24881,24253,49134,105609,1903,3492,5395,1,0,1,49,44,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4870,4628,9498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2505,2449,4954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251113,155345,27983,29321,57304,26769,27188,53957,111261,10579,8933,19512,1363,2298,3661,14,19,33,7,248,255,0,0,0,0,0,0,0,0,0,0,3,3,1,0,1,4276,4152,8428,3826,2992,6818,59,62,121,178,118,296,0,0,0,0,0,0,2536,2363,4899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,29,15,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251114,165853,32618,31215,63833,30156,29513,59669,123502,9152,8827,17979,1392,2197,3589,30,25,55,44,52,96,0,0,0,0,0,0,0,0,0,0,0,0,24,26,50,4705,4426,9131,2806,2743,5549,67,146,213,0,0,0,1,0,1,0,0,0,2688,2939,5627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,4,4,0,0,0,30,23,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251115,164896,33278,31048,64326,30903,29707,60610,124936,9250,8780,18030,1,0,1,14,22,36,29,298,327,0,0,0,0,0,0,0,0,0,0,4,4,1,0,1,4561,4405,8966,3418,3335,6753,63,155,218,29,38,67,0,3,3,0,0,0,2712,2591,5303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,20,0,25,25,0,0,0,136,70,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251116,176393,34280,33804,68084,32109,30117,62226,130310,8715,8822,17537,2403,4,2407,14,11,25,2067,1791,3858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4716,4763,9479,2897,3417,6314,99,238,337,158,215,373,5,0,5,0,0,0,2785,2778,5563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,7,7,0,0,0,77,100,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251117,159418,31435,31407,62842,28487,28536,57023,119865,8482,8352,16834,8,1898,1906,19,9,28,31,39,70,6,6,12,0,0,0,0,0,0,0,0,0,2,2,4,4545,4572,9117,2716,3222,5938,0,0,0,0,0,0,0,7,7,0,0,0,2735,2898,5633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251118,148547,30106,29214,59320,28214,25482,53696,113016,8825,7981,16806,0,0,0,13,18,31,48,52,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4198,4290,8488,2571,3000,5571,0,0,0,36,24,60,5,0,5,0,0,0,2206,2260,4466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251119,147270,29226,28585,57811,25885,24821,50706,108517,8124,8042,16166,5,1,6,50,54,104,717,691,1408,0,0,0,0,0,0,1,0,1,0,0,0,6,4,10,4899,4914,9813,2855,2809,5664,94,102,196,0,0,0,0,4,4,0,0,0,2652,2588,5240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,10,0,2,2,0,0,0,45,84,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251120,157728,29857,31578,61435,28916,27864,56780,118215,8675,8751,17426,1442,9,1451,30,24,54,20,171,191,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,4487,4470,8957,2869,3045,5914,149,89,238,184,168,352,9,4,13,0,0,0,2248,2556,4804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12,0,13,13,0,0,0,37,47,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251121,174635,32076,31783,63859,31331,28080,59411,123270,8744,8142,16886,3918,4914,8832,8,6,14,1802,2109,3911,1,3,4,0,0,0,0,0,0,0,2,2,0,0,0,4688,4611,9299,2952,3271,6223,71,131,202,0,0,0,1,1,2,0,0,0,2724,3072,5796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,7,7,0,0,0,133,50,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251122,165811,34098,32116,66214,31365,27544,58909,125123,9153,8723,17876,4,2,6,10,2,12,439,590,1029,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,4530,4335,8865,3633,3473,7106,70,179,249,29,35,64,0,0,0,0,0,0,2708,2465,5173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,6,6,0,0,0,173,123,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251123,177666,34141,34269,68410,32361,27878,60239,128649,9428,8674,18102,2687,2675,5362,2,8,10,1598,1405,3003,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,4711,4731,9442,3254,3500,6754,200,108,308,175,216,391,0,1,1,0,0,0,2730,2619,5349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,150,108,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
